subject_id,trial,response,rt,responseConf,rtConf,correct,contrast
1,21,2,1.12710058369794,4.5,1.37049659834611,0,2.5
1,22,1,1.0641903475298,3.5,0.263443564574118,0,4.5
1,23,1,1.00517827458316,4.5,0.734537206038112,0,6.5
1,24,1,1.54457771381203,4.3,0.593170275684315,1,8.5
1,25,1,2.16433673396114,4.2,0.569635183660466,1,8.5
2,1,2,1.14353643426148,5.2,3.31537007767292,1,19
2,2,2,0.618446721207874,6,1.52596366035505,1,19
2,3,2,0.584985215782581,6,1.65947707564919,1,19
2,4,2,0.930290212783802,4.1,1.39248138413495,1,18
2,5,2,0.852073982343427,4.4,1.31233726837672,1,17
2,6,1,0.789234296922587,4.3,1.31235369338538,1,16
2,7,2,1.05474147208588,3.7,2.75453509870204,1,15
2,8,1,1.25383515382964,3.9,1.33901592986149,0,14
2,9,1,0.651871270367337,4,1.33857656089822,1,16
2,10,1,0.677568537623301,5.9,1.3123687496427,1,16
2,11,2,2.02335841454988,3.5,0.751459858136514,1,15
2,12,2,0.680142815444924,4.4,0.991910341355833,1,14
2,13,2,1.66149153444712,3.5,0.885009203137088,1,13
2,14,1,0.648472320268411,4,1.0719261367376,1,12
2,15,1,0.527894967548491,3.5,0.751441037815312,1,11
2,16,1,0.663913880945984,5.5,1.12490671108571,1,10
2,17,2,1.797272969603,3.5,0.964851851560525,1,9
2,18,2,1.23184480557393,4.4,0.858288452567649,1,8
2,19,2,1.33812555755321,3.6,2.86135787594503,1,7
2,20,2,1.21100215475599,3.9,1.3390073751707,1,6
2,21,1,0.606162526139087,3.8,1.20547274423916,1,5
2,22,2,2.11762872159125,3.6,2.04648448367152,0,4
2,23,1,1.1932429570079,3.8,1.04526390026149,0,6
2,24,2,1.05314208692653,3.5,0.965139289199215,1,8
2,25,1,0.858268605683406,4.8,1.49928807855758,1,8
2,1,2,1.64984038656257,3.5,4.19636884134889,1,8
2,2,1,0.682647971356346,4.1,1.15202405716082,0,8
2,3,1,0.767240184602997,3.9,1.01866667944159,0,8
2,4,1,1.14577399941845,3.5,2.03352412577078,1,10
2,5,1,1.4653714635333,3.5,0.350949724761449,0,10
2,6,2,0.966513514871622,4.1,1.04537271593836,1,12
2,7,2,1.03195998594128,4.4,1.36580169608715,1,12
2,8,1,0.804278577717923,6,1.57952082092197,1,11
2,9,2,1.08536145112157,6,1.33910660959555,1,10
